article_id,title,authors,year,journal,doi,pdf_path,screening_status,examination_status,study_order
M0231,Beyond words: developing a scale to measure the embodied professional literacy of K-12 physical education teachers.,"Li, Zhi ; Jia, Jingdong ; Jiang, Zijing ; Ding, Kai ; Li, Chenlin ; Zou, Xiang",2026,Frontiers in Psychology,10.3389/fpsyg.2026.1789350,review/EBSCO/pdfs/EBSCO_M0231_Li_2026_Beyond_words_developing_a_scale_to_measure_the_e.pdf,excluded_pls,not_read,
M0232,Status and influencing factors of spiritual climate among oncology nurses: a cross-sectional study.,"Zhang, Tianyue ; Dong, Chunfeng ; Tang, Jie ; Yu, Ping",2026,Frontiers in Psychology,10.3389/fpsyg.2026.1759724,review/EBSCO/pdfs/EBSCO_M0232_Zhang_2026_Status_and_influencing_factors_of_spiritual_clim.pdf,level1_fail,not_read,
M0233,The cognitive engine of evaluative threat: socially prescribed perfectionism and Music Performance Anxiety—a moderated mediation analysis of rumination and self-compassion.,"Yan, Haitao ; Liu, Chang",2026,Frontiers in Psychology,10.3389/fpsyg.2026.1782906,review/EBSCO/pdfs/EBSCO_M0233_Yan_2026_The_cognitive_engine_of_evaluative_threat_social.pdf,included,fully_coded,M0233
M0234,"Analysis of hospital resilience in public health emergencies using structural equation modeling: based on risk perception, resource preparedness, and team collaboration.","Chen, Yunpeng ; Wu, Hao",2026,Frontiers in Public Health,10.3389/fpubh.2026.1819684,review/EBSCO/pdfs/EBSCO_M0234_Chen_2026_Analysis_of_hospital_resilience_in_public_health.pdf,included,fully_coded,M0234
M0235,Unpacking the impact of teacher support on EAP-related perceived academic achievement in EMI context: the mediating role of self-efficacy and academic engagement.,"Yu, Yanping ; Feng, Yanling ; Liu, Dan ; Liu, Lei",2026,Frontiers in Psychology,10.3389/fpsyg.2026.1830742,review/EBSCO/pdfs/EBSCO_M0235_Theory_2026_Unpacking_the_impact_of_teacher_support_on_EAP-r.pdf,excluded_pls,not_read,
M0236,The relationship between shyness and short video addiction among college students: chain mediating role of social support and basic psychological needs.,"Bu, Xiaofei ; Li, Xin ; Li, Bingzhi ; Zhang, Xuan",2026,Frontiers in Psychology,10.3389/fpsyg.2026.1773800,review/EBSCO/pdfs/EBSCO_M0236_Bu_2026_The_relationship_between_shyness_and_short_video.pdf,level1_fail,not_read,
M0237,When artificial intelligence becomes a job resource: how psychological capital fuels innovation in algorithm-driven workplaces.,"Liu, Yanru ; Tian, Qing ; Chen, Jiachun",2026,Frontiers in Psychology,10.3389/fpsyg.2026.1740508,review/EBSCO/pdfs/EBSCO_M0237_Liu_2026_When_artificial_intelligence_becomes_a_job_resou.pdf,included,fully_coded,M0237
M0238,A Bayesian analysis of determinants of open science utilization among Gen Z students in Vietnamese universities challenges digital native assumptions.,"Thi Tuyet Le, Trinh ; Nguyen, Ho ; Le, Minh-Cuong ; Vo, Mai Xuan ; Pham, Thi-Quynh ; Ho, Manh-Tung ; Nguyen, Hong-Kong T.",2026,Discover Education,10.1007/s44217-026-01667-8,review/EBSCO/pdfs/EBSCO_M0238_Williams_2026_RESEARCH.pdf,included,fully_coded,M0238
M0239,"The relationship between mindfulness, self-control, and short video addiction among medical students.","Luo, Yuting ; Li, Yulian ; Wu, Quanmin ; Shi, Pengchong",2026,Frontiers in Psychology,10.3389/fpsyg.2026.1746374,review/EBSCO/pdfs/EBSCO_M0239_Luo_2026_The_relationship_between_mindfulness_self-contro.pdf,level1_fail,not_read,
M0240,The impact of shipping practitioners' low-carbon transition cognition on corporate green practices: a moderated mediation model.,"Li, Tianjiao ; Chen, Qiong ; Lau, Yui-Yip",2026,Frontiers in Marine Science,10.3389/fmars.2026.1819880,review/EBSCO/pdfs/EBSCO_M0240_Tianjiao Li_2026_The_impact_of_shipping_practitioners_low-carbon.pdf,included,fully_coded,M0240
M0241,From physical workplaces to virtual communities: extending the job embeddedness construct and predicting digital makers' continuance participation.,"Bi, Zhuoying ; Liu, Xiao ; Yang, Jiaoping",2026,Frontiers in Psychology,10.3389/fpsyg.2026.1815824,review/EBSCO/pdfs/EBSCO_M0241_Bi_2026_From_physical_workplaces_to_virtual_communities.pdf,included,fully_coded,M0241
M0242,The association between academic self-esteem and college students' positive psychological qualities: the mediating role of general self-efficacy.,"Li, Jing ; Yan, Xianghui",2026,Frontiers in Psychology,10.3389/fpsyg.2026.1788167,review/EBSCO/pdfs/EBSCO_M0242_Li_2026_The_association_between_academic_self-esteem_and.pdf,level1_fail,not_read,
M0243,Provoking or backfiring? A contingent model of how abusive supervision influences learning from failure through fear.,"Wang, Haizhen ; An, Ge ; Xu, Jiajia ; Ding, Lin ; Chen, Jie",2026,Frontiers in Psychology,10.3389/fpsyg.2026.1532064,review/EBSCO/pdfs/EBSCO_M0243_Wang_2024_Provoking_or_backfiring_A_contingent_model_of_ho.pdf,included,fully_coded,M0243
M0244,Beyond coexistence: the asymmetric interplay of health risk and promotion pathways driven by communication legacies across emerging and recurring epidemics.,"Wu, Shaolong ; Wan, Haiyan",2026,Frontiers in Public Health,10.3389/fpubh.2026.1835961,review/EBSCO/pdfs/EBSCO_M0244_Wan_2026_Beyond_coexistence_the_asymmetric_interplay_of_h.pdf,level1_fail,not_read,
M0245,Latent Profile Analysis of Family Resilience and Its Associated Factors in Maintenance Hemodialysis Patients: A Cross-Sectional Study.,"Ma, Linlin ; Su, Zhenzhen ; Luo, Yanfang ; Chen, Xueru ; Liu, Kangping ; Liu, Zhimin ; Xia, Fei ; Sun, Renjuan ; Wang, Jiao",2026,Journal of Multidisciplinary Healthcare,10.2147/jmdh.s608329,review/EBSCO/pdfs/EBSCO_M0245_Linlin Ma_2025_JMDH_A_608329_115.pdf,included,fully_coded,M0245
M0246,Why perceived organizational virtue matters: a psychological mechanism.,"Ko, Sung-Hoon",2026,Frontiers in Psychology,10.3389/fpsyg.2026.1788145,review/EBSCO/pdfs/EBSCO_M0246_Ko_2026_Why_perceived_organizational_virtue_matters_a_ps.pdf,included,fully_coded,M0246
M0247,"Time-lagged effects of social support on exercise adherence among Korean college students: serial mediation of self-efficacy, athletic identity, and intrinsic motivation.","Zhao, Yang ; Li, Xiangnan ; Zhou, Yubo ; Wang, Du",2026,Frontiers in Psychology,10.3389/fpsyg.2026.1795823,review/EBSCO/pdfs/EBSCO_M0247_Zhao_2026_Time-lagged_effects_of_social_support_on_exercis.pdf,level1_fail,not_read,
M0248,"Associations among impostor phenomenon, self-compassion, shame, and social anxiety in college students.","He, Chuanchuan ; Ye, Lin",2026,Frontiers in Psychology,10.3389/fpsyg.2026.1777854,review/EBSCO/pdfs/EBSCO_M0248_He_2026_Associations_among_impostor_phenomenon_self-comp.pdf,excluded_pls,not_read,
M0249,Leadership avoidance as a rational choice among women instructors in higher education: cross-cultural parallels.,"Ayesha, Benazir ; Wen, Bo ; Li, Yuan ; Ahmed, Fawad",2026,Frontiers in Psychology,10.3389/fpsyg.2026.1767636,review/EBSCO/pdfs/EBSCO_M0249_Benazir Ayesha_2026_Leadership_avoidance_as_a_rational_choice_among.pdf,included,fully_coded,M0249
M0250,The pathways to teacher growth: mediating roles of motivation and self-efficacy within the community of inquiry framework.,"Zuo, Mingzhang ; Yang, Dengfeng ; Xiang, Lei ; Yang, Zhimiao",2026,Frontiers in Psychology,10.3389/fpsyg.2026.1755265,review/EBSCO/pdfs/EBSCO_M0250_Zuo_2026_The_pathways_to_teacher_growth_mediating_roles_o.pdf,included,fully_coded,M0250
M0251,"Social media addiction and social anxiety among college students: the serial mediating roles of alienation, self-focused attention, and fear of negative evaluation.","Xu, Xiaoyu ; Fang, Hao",2026,Frontiers in Psychology,10.3389/fpsyg.2026.1797966,review/EBSCO/pdfs/EBSCO_M0251_Xu_2026_Social_media_addiction_and_social_anxiety_among.pdf,level1_fail,not_read,
M0252,The effect of social capital on infectious disease-specific health literacy among community residents: the chain mediating effect of family health and psychological capital.,"Xu, Huan ; Zhang, Xixi ; Yang, Qian ; Du, Hanlu ; Lang, Hongjuan",2026,Frontiers in Public Health,10.3389/fpubh.2026.1780476,review/EBSCO/pdfs/EBSCO_M0252_Huan Xu_2025_The_effect_of_social_capital_on_infectious_disea.pdf,level1_fail,not_read,
M0253,Sensory processing sensitivity levels in patients with disorders of gut–brain interaction: a propensity score-matched cross-sectional study.,"Peng, Dingjiang ; Zhang, Yijun",2026,Frontiers in Medicine,10.3389/fmed.2026.1674680,review/EBSCO/pdfs/EBSCO_M0253_Peng_2026_Sensory_processing_sensitivity_levels_in_patient.pdf,level1_fail,not_read,
M0254,The relationship between physical activity and subjective wellbeing in infertile women: the mediating role of positive feedback and self-efficacy.,"Liu, Mengxuan",2026,Frontiers in Public Health,10.3389/fpubh.2026.1723969,review/EBSCO/pdfs/EBSCO_M0254_Liu_2026_The_relationship_between_physical_activity_and_s.pdf,level1_fail,not_read,
