pool_id,title,authors,year,journal,publisher_outlet,publisher_outlet_detail,doi,ebsco_an,ebsco_search_position,in_master,master_article_id,pool_status,gap_reason,pdf_status,examination_status,zotero_key,pdf_path,sort_rank,notes
P0047,Sensory processing sensitivity levels in patients with disorders of gut–brain interaction: a propensity score-matched cross-sectional study.,"Peng, Dingjiang ; Zhang, Yijun",2026,Frontiers in Medicine,Frontiers,Frontiers in Medicine,10.3389/fmed.2026.1674680,192821546,72,Y,M0253,in_pool,,downloaded,not_read,,review/EBSCO/pdfs/EBSCO_M0253_Peng_2026_Sensory_processing_sensitivity_levels_in_patient.pdf,47,ebsco_search_position=72;ebsco_record_range=51-100
P0048,"Social media addiction and social anxiety among college students: the serial mediating roles of alienation, self-focused attention, and fear of negative evaluation.","Xu, Xiaoyu ; Fang, Hao",2026,Frontiers in Psychology,Frontiers,Frontiers in Psychology,10.3389/fpsyg.2026.1797966,193137196,70,Y,M0251,in_pool,,downloaded,not_read,,review/EBSCO/pdfs/EBSCO_M0251_Xu_2026_Social_media_addiction_and_social_anxiety_among.pdf,48,ebsco_search_position=70;ebsco_record_range=51-100
P0049,Staged and gendered pathways from parenting behaviors to Chinese students’ creative thinking: The roles of autonomous motivation and creative self-efficacy.,"Liu, Guirong ; Zhang, Xiaomei ; Liu, Zhanbo ; Zhang, Jinghuan",2026,"Psychology of Aesthetics, Creativity, and the Arts",APA/PSYC,"Psychology of Aesthetics, Creativity, and the Arts",10.1037/aca0000637,2024-51547-001,,Y,M0667,in_pool,,missing,not_read,,,49,ebsco_record_range=551-570
P0050,Status and influencing factors of spiritual climate among oncology nurses: a cross-sectional study.,"Zhang, Tianyue ; Dong, Chunfeng ; Tang, Jie ; Yu, Ping",2026,Frontiers in Psychology,Frontiers,Frontiers in Psychology,10.3389/fpsyg.2026.1759724,194130727,51,Y,M0232,in_pool,,downloaded,not_read,,review/EBSCO/pdfs/EBSCO_M0232_Zhang_2026_Status_and_influencing_factors_of_spiritual_clim.pdf,50,ebsco_search_position=51;ebsco_record_range=51-100
P0051,Supervisors as Enhancers of Workplace Resilience Training: Promoting Training Transfer at Work and Perceptions of Support.,"Kho, Madison C. ; Crane, Monique F.",2026,Journal of Personnel Psychology,NA,Journal of Personnel Psychology,10.1027/1866-5888/a000384,2027-39003-001,76,Y,M0257,in_pool,,downloaded,fully_coded,,review/EBSCO/pdfs/EBSCO_M0257_Kho_2026_Original_Article_Supervisors_as_Enhancers_of_Wor.pdf,51,ebsco_search_position=76;ebsco_record_range=51-100
P0052,The association between academic self-esteem and college students' positive psychological qualities: the mediating role of general self-efficacy.,"Li, Jing ; Yan, Xianghui",2026,Frontiers in Psychology,Frontiers,Frontiers in Psychology,10.3389/fpsyg.2026.1788167,193526863,61,Y,M0242,in_pool,,downloaded,not_read,,review/EBSCO/pdfs/EBSCO_M0242_Li_2026_The_association_between_academic_self-esteem_and.pdf,52,ebsco_search_position=61;ebsco_record_range=51-100
P0053,The cognitive engine of evaluative threat: socially prescribed perfectionism and Music Performance Anxiety—a moderated mediation analysis of rumination and self-compassion.,"Yan, Haitao ; Liu, Chang",2026,Frontiers in Psychology,Frontiers,Frontiers in Psychology,10.3389/fpsyg.2026.1782906,194130731,52,Y,M0233,in_pool,,downloaded,fully_coded,,review/EBSCO/pdfs/EBSCO_M0233_Yan_2026_The_cognitive_engine_of_evaluative_threat_social.pdf,53,ebsco_search_position=52;ebsco_record_range=51-100
P0054,The effect of social capital on infectious disease-specific health literacy among community residents: the chain mediating effect of family health and psychological capital.,"Xu, Huan ; Zhang, Xixi ; Yang, Qian ; Du, Hanlu ; Lang, Hongjuan",2026,Frontiers in Public Health,Frontiers,Frontiers in Public Health,10.3389/fpubh.2026.1780476,193137439,71,Y,M0252,in_pool,,downloaded,not_read,,review/EBSCO/pdfs/EBSCO_M0252_Huan Xu_2025_The_effect_of_social_capital_on_infectious_disea.pdf,54,ebsco_search_position=71;ebsco_record_range=51-100
P0055,The Green Shield: How Pro-Environmental Advocacy Protects Employees from Supervisor Ostracism.,"Ju, Dong ; Tang, Yan ; Geng, Shu ; Lu, Ruobing ; Wang, Weifeng",2026,Behavioral Sciences (2076-328X),MDPI,Behavioral Sciences (2076-328X),10.3390/bs16020196,192036276,4,Y,M0186,in_pool,,downloaded,fully_coded,,review/EBSCO/pdfs/EBSCO_M0186_Ju_2026_The_Green_Shield_How_Pro-Environmental_Advocacy.pdf,55,ebsco_search_position=4;ebsco_record_range=1-50
P0056,The Impact of Artificial Intelligence Usage on Affective Work Well-Being: A Self-Determination Theory Perspective.,"Zhang, Chi ; Chen, Shuping ; Zhang, Dianru ; Zhang, Qichao",2026,Behavioral Sciences (2076-328X),MDPI,Behavioral Sciences (2076-328X),10.3390/bs16050670,194142814,2,Y,M0184,in_pool,,downloaded,fully_coded,,review/EBSCO/pdfs/EBSCO_M0184_Zhang_2026_The_Impact_of_Artificial_Intelligence_Usage_on_Affective.pdf,56,ebsco_search_position=2;ebsco_record_range=1-50
P0057,The impact of cultural tourism experience on cultural identity: A case study of Mazu culture.,"Wang, Mian ; Lee, Hee Seung ; Chen, Wen Qiang",2026,PLoS ONE,NA,PLoS ONE,10.1371/journal.pone.0346153,192736398,3,Y,M0185,in_pool,,downloaded,not_read,,review/EBSCO/pdfs/EBSCO_M0185_Wang_2026_The_impact_of_cultural_tourism_experience_on_cul.pdf,57,ebsco_search_position=3;ebsco_record_range=1-50
P0058,The Impact of Perceived Usefulness of Wearable Devices on Treatment Adherence in Fracture Patients: The Chain Mediating Roles of Self-Efficacy and Meaning in Life.,"Tan, Xiaoxue ; Cai, Shanshan ; Kan, Yanan ; Xu, Nan ; Chen, Ying ; Xu, Min ; Huang, Donghong",2026,Patient Preference & Adherence,NA,Patient Preference & Adherence,10.2147/ppa.s555791,191299637,7,Y,M0189,in_pool,,downloaded,not_read,,review/EBSCO/pdfs/EBSCO_M0189_Xiaoxue Tan_2026_PPA_A_555791_123.pdf,58,ebsco_search_position=7;ebsco_record_range=1-50
