"study","scenario","true_b2","n","n_reps","cmv_prop","same_source","measurement_key","measurement_profile","measurement_mode","power_X2","type2_rate_X2","type1_rate_X2","mean_b_X2_tmgt","bias_b_X2"
"ambiversion_power","grant_ambivert",-0.14,5000,1000,0.25,TRUE,"unfolding_mixed","Mixed cumulative + unfolding midrange","unfolding_mixed",0.451,0.549,NA,-0.0281880671565381,0.111811932843462
"ambiversion_power","grant_ambivert",-0.14,5000,1000,0.5,TRUE,"unfolding_mixed","Mixed cumulative + unfolding midrange","unfolding_mixed",0.21,0.79,NA,-0.0142026093761282,0.125797390623872
"ambiversion_power","grant_ambivert",-0.14,340,1000,0,TRUE,"facet_cumulative","Facet cumulative (assertiveness + enthusiasm)","facet_cumulative",0.495,0.505,NA,-0.108663820862098,0.031336179137902
"ambiversion_power","grant_ambivert",-0.14,340,1000,0.25,TRUE,"facet_cumulative","Facet cumulative (assertiveness + enthusiasm)","facet_cumulative",0.241,0.759,NA,-0.0600697841594687,0.0799302158405313
"ambiversion_power","grant_ambivert",-0.14,340,1000,0.5,TRUE,"facet_cumulative","Facet cumulative (assertiveness + enthusiasm)","facet_cumulative",0.156,0.844,NA,-0.0384056903107344,0.101594309689266
"ambiversion_power","grant_ambivert",-0.14,500,1000,0,TRUE,"facet_cumulative","Facet cumulative (assertiveness + enthusiasm)","facet_cumulative",0.678,0.322,NA,-0.10727892583222,0.0327210741677801
"ambiversion_power","grant_ambivert",-0.14,500,1000,0.25,TRUE,"facet_cumulative","Facet cumulative (assertiveness + enthusiasm)","facet_cumulative",0.364,0.636,NA,-0.0627293706871986,0.0772706293128014
"ambiversion_power","grant_ambivert",-0.14,500,1000,0.5,TRUE,"facet_cumulative","Facet cumulative (assertiveness + enthusiasm)","facet_cumulative",0.217,0.783,NA,-0.0401932474580529,0.0998067525419471
"ambiversion_power","grant_ambivert",-0.14,750,1000,0,TRUE,"facet_cumulative","Facet cumulative (assertiveness + enthusiasm)","facet_cumulative",0.833,0.167,NA,-0.108765656508997,0.0312343434910032
"ambiversion_power","grant_ambivert",-0.14,750,1000,0.25,TRUE,"facet_cumulative","Facet cumulative (assertiveness + enthusiasm)","facet_cumulative",0.495,0.505,NA,-0.0611401169795271,0.0788598830204729
"ambiversion_power","grant_ambivert",-0.14,750,1000,0.5,TRUE,"facet_cumulative","Facet cumulative (assertiveness + enthusiasm)","facet_cumulative",0.27,0.73,NA,-0.0388478125345227,0.101152187465477
"ambiversion_power","grant_ambivert",-0.14,1000,1000,0,TRUE,"facet_cumulative","Facet cumulative (assertiveness + enthusiasm)","facet_cumulative",0.919,0.081,NA,-0.107553637601086,0.0324463623989135
"ambiversion_power","grant_ambivert",-0.14,1000,1000,0.25,TRUE,"facet_cumulative","Facet cumulative (assertiveness + enthusiasm)","facet_cumulative",0.574,0.426,NA,-0.0586178924870299,0.0813821075129701
"ambiversion_power","grant_ambivert",-0.14,1000,1000,0.5,TRUE,"facet_cumulative","Facet cumulative (assertiveness + enthusiasm)","facet_cumulative",0.356,0.644,NA,-0.0385144709091006,0.101485529090899
"ambiversion_power","grant_ambivert",-0.14,1500,1000,0,TRUE,"facet_cumulative","Facet cumulative (assertiveness + enthusiasm)","facet_cumulative",0.988,0.012,NA,-0.107584061987602,0.0324159380123984
