"","Condition","PP","OCBI","OCBO","IRB"
"366","FillerScales",3,3.71428571428571,5,4.42857142857143
"367","ItemRand",3.9,4.14285714285714,4,4
"368","ItemRand",4,4.14285714285714,4,4
"369","ItemRand",3.6,5,4.57142857142857,4.85714285714286
"370","ItemRand",4.5,4.42857142857143,4.57142857142857,4.57142857142857
"371","Control",3.4,4.28571428571429,4.42857142857143,5
"372","ScaleRand",3.7,3.71428571428571,3.85714285714286,3.85714285714286
"373","Control",3.2,3.42857142857143,2.71428571428571,2.71428571428571
"374","ScaleRand",4.2,4.71428571428571,4.14285714285714,5
"375","Control",4,4.28571428571429,3.42857142857143,3.28571428571429
"376","ItemRand",4,4,4.71428571428571,5
"377","Control",3.7,3.57142857142857,3.57142857142857,3.57142857142857
"378","CSManipulation",4.2,4.14285714285714,4.85714285714286,4.71428571428571
"379","ScaleRand",4,3,2.85714285714286,4
"380","Control",3.8,3.57142857142857,4.71428571428571,4.85714285714286
"381","CSManipulation",3,3.14285714285714,3.42857142857143,3.28571428571429
"382","CSManipulation",3.8,4,3.42857142857143,3.42857142857143
"383","FillerScales",4.2,4.71428571428571,4,4.28571428571429
"384","ScaleRand",3.7,4,4.42857142857143,4.71428571428571
"385","FillerScales",4.2,4,4.28571428571429,4
"386","Control",5,5,5,5
"387","ScaleRand",4.5,4.85714285714286,3.57142857142857,4.28571428571429
"388","ScaleRand",3.9,3.57142857142857,4.42857142857143,4.85714285714286
"389","ScaleRand",3.1,3.71428571428571,3.42857142857143,2.85714285714286
"390","CSManipulation",3.2,2.14285714285714,4,4
"391","CSManipulation",4,4,4.42857142857143,4.85714285714286
"392","ScaleRand",4,4.57142857142857,4.57142857142857,4.85714285714286
"393","ItemRand",3.2,3.85714285714286,3,3
"394","CSManipulation",4,3.42857142857143,4.28571428571429,4.28571428571429
"395","CSManipulation",1.9,2.28571428571429,3,3.85714285714286
"396","ScaleRand",4.3,4.57142857142857,4.71428571428571,4.71428571428571
"397","ItemRand",3.6,4,3.57142857142857,4.42857142857143
"398","CSManipulation",3.7,3.71428571428571,3,3.28571428571429
"399","FillerScales",4.5,4,4.57142857142857,4.28571428571429
"400","FillerScales",2.9,3.71428571428571,4.28571428571429,4.85714285714286
"401","Control",2.5,3.14285714285714,4.57142857142857,4.14285714285714
"402","CSManipulation",4.2,4.14285714285714,4.71428571428571,4.57142857142857
"403","ScaleRand",4.1,4.28571428571429,2.57142857142857,4.14285714285714
"404","ScaleRand",4.3,4.57142857142857,4.42857142857143,5
"405","CSManipulation",5,4,4,4
"406","ItemRand",4.2,3.57142857142857,3.71428571428571,4
"407","CSManipulation",3.9,4.71428571428571,4.71428571428571,5
"408","ScaleRand",3.6,3.42857142857143,2.71428571428571,3.28571428571429
"409","ScaleRand",4,4.28571428571429,4.28571428571429,4.85714285714286
"410","Control",4.1,4,3.28571428571429,3.42857142857143
"411","FillerScales",3.9,5,4.85714285714286,5
"412","FillerScales",3.3,3.57142857142857,3.14285714285714,3.85714285714286
"413","CSManipulation",3.8,5,3.85714285714286,3.71428571428571
"414","Control",4.6,3.85714285714286,4.42857142857143,4.28571428571429
"415","FillerScales",4.3,4,3.14285714285714,3.71428571428571
"416","ScaleRand",4.1,4.14285714285714,5,5
"417","CSManipulation",3.7,3.71428571428571,4,4
"418","FillerScales",4.5,4.57142857142857,5,4.57142857142857
"419","ScaleRand",4.6,2.71428571428571,4,4.14285714285714
"420","CSManipulation",4.9,4.42857142857143,5,4.71428571428571
"421","Control",3.8,4,3.71428571428571,3.85714285714286
"422","FillerScales",4.3,3.42857142857143,4.57142857142857,4.85714285714286
"423","FillerScales",3.2,5,4.42857142857143,5
"424","ItemRand",5,4.42857142857143,5,5
