TMGT-CMV Monte Carlo (1000 reps/cell, N=200, extended=TRUE)

Scenario: null_tmgt (Null TMGT (linear only))
  N = 200
  CMV=0.00, same_source=FALSE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=NaN, Type II X2=0.000, Power X2=1.000
  CMV=0.25, same_source=FALSE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=NaN, Type II X2=0.097, Power X2=0.903
  CMV=0.50, same_source=FALSE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=NaN, Type II X2=0.578, Power X2=0.422
  CMV=0.00, same_source=TRUE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=NaN, Type II X2=0.000, Power X2=1.000
  CMV=0.25, same_source=TRUE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=NaN, Type II X2=0.058, Power X2=0.942
  CMV=0.50, same_source=TRUE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=NaN, Type II X2=0.616, Power X2=0.384
  CMV=0.00, same_source=FALSE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=NaN, Type II X2=0.000, Power X2=1.000
  CMV=0.25, same_source=FALSE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=NaN, Type II X2=0.074, Power X2=0.926
  CMV=0.50, same_source=FALSE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=NaN, Type II X2=0.553, Power X2=0.447
  CMV=0.25, same_source=TRUE, rho=(0.30,0.00,0.00), asym=TRUE ... Type I X2=NaN, Type II X2=0.092, Power X2=0.908
  CMV=0.25, same_source=TRUE, rho=(0.30,0.10,0.00), asym=TRUE ... Type I X2=NaN, Type II X2=0.079, Power X2=0.921
  CMV=0.50, same_source=TRUE, rho=(0.30,0.00,0.00), asym=TRUE ... Type I X2=NaN, Type II X2=0.604, Power X2=0.396

Scenario: grant_ambivert (Grant (2013) ambivert advantage)
  N = 200
  CMV=0.00, same_source=TRUE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=NaN, Type II X2=0.662, Power X2=0.338
  CMV=0.25, same_source=TRUE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=NaN, Type II X2=0.829, Power X2=0.171
  CMV=0.50, same_source=TRUE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=NaN, Type II X2=0.910, Power X2=0.090
  CMV=0.00, same_source=FALSE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=NaN, Type II X2=0.661, Power X2=0.339
  CMV=0.25, same_source=FALSE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=NaN, Type II X2=0.827, Power X2=0.173
  CMV=0.50, same_source=FALSE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=NaN, Type II X2=0.904, Power X2=0.096
  CMV=0.00, same_source=TRUE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=NaN, Type II X2=0.670, Power X2=0.330
  CMV=0.25, same_source=TRUE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=NaN, Type II X2=0.799, Power X2=0.201
  CMV=0.50, same_source=TRUE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=NaN, Type II X2=0.881, Power X2=0.119
  CMV=0.00, same_source=FALSE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=NaN, Type II X2=0.651, Power X2=0.349
  CMV=0.25, same_source=FALSE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=NaN, Type II X2=0.835, Power X2=0.165
  CMV=0.50, same_source=FALSE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=NaN, Type II X2=0.893, Power X2=0.107
  CMV=0.25, same_source=TRUE, rho=(0.30,0.00,0.00), asym=TRUE ... Type I X2=NaN, Type II X2=0.815, Power X2=0.185
  CMV=0.25, same_source=TRUE, rho=(0.30,0.10,0.00), asym=TRUE ... Type I X2=NaN, Type II X2=0.813, Power X2=0.187
  CMV=0.50, same_source=TRUE, rho=(0.30,0.00,0.00), asym=TRUE ... Type I X2=NaN, Type II X2=0.881, Power X2=0.119
  N = 340
  CMV=0.00, same_source=TRUE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=NaN, Type II X2=0.503, Power X2=0.497
  CMV=0.25, same_source=TRUE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=NaN, Type II X2=0.753, Power X2=0.247
  CMV=0.50, same_source=TRUE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=NaN, Type II X2=0.852, Power X2=0.148
  CMV=0.00, same_source=FALSE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=NaN, Type II X2=0.444, Power X2=0.556
  CMV=0.25, same_source=FALSE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=NaN, Type II X2=0.751, Power X2=0.249
  CMV=0.50, same_source=FALSE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=NaN, Type II X2=0.828, Power X2=0.172
  CMV=0.00, same_source=TRUE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=NaN, Type II X2=0.483, Power X2=0.517
  CMV=0.25, same_source=TRUE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=NaN, Type II X2=0.751, Power X2=0.249
  CMV=0.50, same_source=TRUE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=NaN, Type II X2=0.842, Power X2=0.158
  CMV=0.00, same_source=FALSE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=NaN, Type II X2=0.449, Power X2=0.551
  CMV=0.25, same_source=FALSE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=NaN, Type II X2=0.745, Power X2=0.255
  CMV=0.50, same_source=FALSE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=NaN, Type II X2=0.840, Power X2=0.160
  CMV=0.25, same_source=TRUE, rho=(0.30,0.00,0.00), asym=TRUE ... Type I X2=NaN, Type II X2=0.724, Power X2=0.276
  CMV=0.25, same_source=TRUE, rho=(0.30,0.10,0.00), asym=TRUE ... Type I X2=NaN, Type II X2=0.740, Power X2=0.260
  CMV=0.50, same_source=TRUE, rho=(0.30,0.00,0.00), asym=TRUE ... Type I X2=NaN, Type II X2=0.853, Power X2=0.147

Scenario: grant_null (Grant-style null (linear extraversion only))
  N = 200
  CMV=0.00, same_source=TRUE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=0.060, Type II X2=NaN, Power X2=NA
  CMV=0.25, same_source=TRUE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=0.056, Type II X2=NaN, Power X2=NA
  CMV=0.50, same_source=TRUE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=0.041, Type II X2=NaN, Power X2=NA
  CMV=0.00, same_source=FALSE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=0.049, Type II X2=NaN, Power X2=NA
  CMV=0.25, same_source=FALSE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=0.045, Type II X2=NaN, Power X2=NA
  CMV=0.50, same_source=FALSE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=0.055, Type II X2=NaN, Power X2=NA
  CMV=0.00, same_source=TRUE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=0.050, Type II X2=NaN, Power X2=NA
  CMV=0.25, same_source=TRUE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=0.050, Type II X2=NaN, Power X2=NA
  CMV=0.50, same_source=TRUE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=0.054, Type II X2=NaN, Power X2=NA
  CMV=0.00, same_source=FALSE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=0.058, Type II X2=NaN, Power X2=NA
